Account Code,Account,Type,Jan,Feb,Mar,Apr
1000,Checking,Asset,42870.0,47175.0,41325.0,41385.0
1010,Savings,Asset,20000.0,20000.0,20000.0,20000.0
1200,Accounts Receivable,Asset,15400.0,15700.0,16100.0,24800.0
1300,Inventory - Raw Materials,Asset,8700.0,8850.0,9200.0,9500.0
1310,Inventory - Finished Goods,Asset,11700.0,11900.0,12100.0,12300.0
1400,Prepaid Insurance,Asset,1600.0,1400.0,1200.0,1000.0
1500,Equipment,Asset,45000.0,45000.0,46800.0,46800.0
1510,Accumulated Depreciation,Asset,13000.0,13800.0,14600.0,15400.0
2000,Accounts Payable,Liability,7700.0,7900.0,8100.0,8300.0
2100,Credit Card Payable,Liability,3500.0,3600.0,3450.0,4700.0
2200,Sales Tax Payable,Liability,1980.0,2020.0,2060.0,2100.0
2300,Payroll Liabilities,Liability,2350.0,2350.0,2400.0,2400.0
2400,Loan Payable - Equipment,Liability,16400.0,16000.0,15600.0,15200.0
3000,Common Stock,Equity,10000.0,10000.0,10000.0,10000.0
3100,Retained Earnings,Equity,92540.0,98755.0,97115.0,106485.0
3200,Owner Draws,Equity,2200.0,4400.0,6600.0,8800.0
4000,Sales - PyPal,Revenue,16000.0,16300.0,17000.0,21000.0
4010,Sales - ByteBot,Revenue,19000.0,19500.0,19800.0,20200.0
4020,Sales - TensorTurtle,Revenue,9700.0,9900.0,10100.0,10400.0
4900,Shipping Income,Revenue,1320.0,1350.0,1400.0,1450.0
5000,COGS - Materials,COGS,9500.0,9700.0,13500.0,14200.0
5010,COGS - Labor,COGS,6300.0,6400.0,6500.0,6600.0
6000,Rent Expense,Expense,3600.0,3600.0,3600.0,3600.0
6010,Utilities,Expense,460.0,490.0,430.0,410.0
6020,Payroll Expense,Expense,12500.0,12500.0,12500.0,12500.0
6030,Marketing & Advertising,Expense,1600.0,1600.0,9800.0,3200.0
6040,Software Subscriptions,Expense,400.0,400.0,410.0,410.0
6050,Insurance Expense,Expense,620.0,620.0,620.0,620.0
6060,Professional Fees,Expense,550.0,4200.0,500.0,550.0
6070,Depreciation Expense,Expense,820.0,820.0,820.0,820.0
6080,Bank Fees & Merchant Charges,Expense,350.0,355.0,360.0,600.0
6090,Office Supplies,Expense,160.0,150.0,900.0,170.0
